Id,Itinerário,Distância KM
AA3813,(FERT)SAO LUIS->MURICILANDIA,927
AA6936,(CIBRA)RONDONOPOLIS->SORRISO,612
AB5525,(MULTI)URUCUI->(1734559)PIRAQUE,559
AB5598,(MULTI)URUCUI->MATA ROMA,1.437
AB4726,(Orígeo)BALSAS->(1000057)BALSAS,52
AA4035,(2166)BALSAS->CAXIAS,535
AA4095,(2166)BALSAS->S. DOM DO AZEITAO,193
AB5198,(Orígeo)CUIABA->(1199440)CANARANA,598
AA4123,(2167)ARAGUAINA->BOM JESUS,816
AA4199,(2167)ARAGUAINA->TALISMA,660
AB3839,(Orígeo)CUIABA->(2312054)QUERENCIA,756
AB3838,(Orígeo)CUIABA->(1062949)TAPURAH,430
AA3840,(FERT)SAO LUIS->TASSO FRAGOSO,943
AA4058,(2166)BALSAS->ITINGA MARANHAO,515
AB4975,(origeo)CUIABA->(2340240)NOVA UBIRATA,477
AA4115,(2167)ARAGUAINA->ARAGUAINA,50
AA4138,(2167)ARAGUAINA->C. DE MAGALHAES,207
AB4863,(Orígeo)Cuiabá->PORTO DOS GAUCHOS,604
AB5861,(50533435)P.DO.LESTE->(2042556)SAO JOSE,1.000
AB5597,(MULTI)URUCUI->DOIS IRMAOS DO TOCANTINS,1.546
AA4131,(2167)ARAGUAINA->CASEARA,542
AA4089,(2166)BALSAS->SAMBAIBA,112
AB5254,(MULTI)SAO LUIS->(1581930)XINGUARA,1.038
AB5345,(MULTI)SAO LUIS->(2050882)SAO JOSE DO XI,1.774
AA4052,(2166)BALSAS->FORTUNA,434
AA4140,(2167)ARAGUAINA->CURRAIS,825
AB5501,(MULTI)LUCAS DO RIO VERDE->(1431242)BOM,867
AB5609,(MULTI)BALSAS->(2342433)BENEDITO LEITE,241
AB5866,(MULTI)ARAGUAINA->(2344508)CONCEICAO DO,232
AB5196,(Orígeo)CUIABA->(1197279)QUERENCIA,740
AA4177,(2167)ARAGUAINA->PIRAQUE,66
AB4867,(Orígeo)Cuiabá->SANTA RITA DO TRIVELATO,376
AB4893,(SEEDCORP)BURITIS->(1003654)LUIS EDUARDO,453
AA4187,(2167)ARAGUAINA->SANTA FILOMENA,517
AB5787,(CARLOS IVAN MISSEL BIANCON)NOVA MUTUM->,260
AA7170,(FERTIPAR)RONDONOPOLIS->ROSARIO OESTE,319
AB4854,(Orígeo)Cuiabá->ITIQUIRA,356
AB4603,(Orígeo)CUIABA->(2338722)SANTA CARMEM,484
AB5306,(Orígeo)CUIABA->(2050882)SAO JOSE DO XIN,968
AB5900,(50516447)C.N.PARECIS->(2083623)VILA RIC,340
AB5203,(MULTI)RONDONOPOLIS->(1649121)ALTO GARÇA,148
AB5865,(MULTI)LUIS EDUARDO MAGALHAES->(1735327),1.199
AB5797,(JS16 - SEEDCORP BURITIS)BURITIS->(15966,749
AB5424,(Orígeo)CUIABA->(1573385)UNIAO DO SUL,646
AB6116,(Orígeo)ARAGUAINA->(2345658)BANNACH,353
AA4168,(2167)ARAGUAINA->MONTE DO CARMO,475
AB5078,(Orígeo)CUIABA->(1554130)SAO FELIX DO AR,988
AA6929,(CIBRA)RONDONOPOLIS->RONDONOPOLIS,30
AB5711,(EDMILTON BATAGLINI)CAMPO NOVO DO PARECI,300
AA4055,(2166)BALSAS->IMPERATRIZ,390
AA6935,(CIBRA)RONDONOPOLIS->SINOP,696
AB5710,(EDMILTON BATAGLINI)CAMPO NOVO DO PARECI,300
AB5416,(Orígeo)CUIABA->(2342388)VILA RICA,1.248
AA4142,(2167)ARAGUAINA->DIANOPOLIS,719
AA3820,(FERT)SAO LUIS->PARAGOMINAS,668
AB5968,(JS48 - SLC AGRICOLA LTDA->SANTANA DO AR,1.107
AB4862,(Orígeo)Cuiabá->PORTO ALEGRE DO NORTE,973
AB6571,(50182621)BRASILIA->(1831440)ACAILANDIA,1.600
AB4979,(origeo)ARAGUAINA->(1865175)PIUM,531
AB5945,(50519411)NOVA MUTUM->(2042548)NOVA MARI,200
AB5811,(Orígeo)CUIABA->(1001134)LUCAS DO RIO VE,239
AB5896,(50515441)BURITIS->(2281127)BAIXA GRANDE,3.300
AB5904,(50519463)P.DO.LESTE->(2281127)BAIXA GRA,2.100
AB4971,(origeo)ARAGUAINA->(2310702)FLORESTA DO,249
AB5782,(NOEDIR JOSE KARAM MARCONDES)CAMPO NOVO,220
AA4172,(2167)ARAGUAINA->NOVA ROSALANDIA,403
AA4169,(2167)ARAGUAINA->MURICILANDIA,64
AA6876,(CIBRA)RONDONOP.->STO ANTONIO DO LESTE,268
AB7680,(ORÍGEO)ARAGUAINA->(2352473)ABREULANDIA,350
AA3956,(2165)LEM->GILBUES,392
AA6998,(CIBRA)SINOP->PORTO DOS GAUCHOS,370
AB7174,(Orígeo)CUIABA->(2040902)ALTO TAQUARI,490
AB8275,(DREYMOOR )VERA->(1063372)LUCAS DO RIO V,132
AA4070,(2166)BALSAS->M. ALEG. DO PIAUI,368
AB4974,(origeo)CUIABA->(1717820)TABAPORA,188
AB8358,(FERTIPAR)RONDONOPOLIS->(1925045)TABAPOR,832
AC0411,Paranagua-Pr->Tabapora-Mt,486
AB8979,(50065718)SIDROLANDIA->(1014892)MONDAI,900
AC0282,(RONDONOPOLIS)RONDONOPOLIS->(1925045)TAB,883
AA3963,(2165)LEM->LAGOA DA CONFUSAO,590
AA4053,(2166)BALSAS->GILBUES,373
AB5049,(SEEDCORP)NOVA MUTUM->(2125600)FELIZ NAT,272
AB2149,(EUROCHEM)SINOP->(1685181)TERRA NOVA DO,177
AB8209,(DREYMOOR BRASIL)VERA->(1999624)QUERENCI,785
AB8356,(ORIGEO)BALSAS->(2014945)SAO GONCALO DO,540
AA4020,(2166)BALSAS->B. GDE DO RIBEIRO,155
AB8632,(CIBRAFERTIL)RONDONOPOLIS->(1001772)LUCA,550
AB6177,(multitrans)PARANAGUA->(2300167)SORRISO,2.200
AB8268,(MULTITRANS)PARANAGUA->(1002140)NOVA MUT,2.010
AC0408,Paranagua-Pr->Lucas Do Rio Verde-Mt,310
AA6889,RONDONOPOLIS-> CAMPOS DE JULIO,782
AB9234,(ONNO )RONDONOPOLIS->(1884884)SANTA RITA,403
AA4176,(2167)ARAGUAINA->PARAGOMINAS,552
AA7114,(FERTIPAR)RONDONOP->NOVA SANTA HELENA,815
AB7673,(MULTI)RONDONOPOLIS->(1195974)MINEIROS,297
AB5807,(Orígeo)CUIABA->(2346210)CAMPINAPOLIS,546
AB8269,(MULTITRANS)PARANAGUA->(2307986)NOVA MAR,2.136
AB4846,(MULTI)RONDONOPOLIS->(1062642)SAO FELIX,935
AC0477,(CUBATÃO)CUBATAO->(2289594)CAMPO NOVO DO,2.025
AB9740,(BARCARENA)BARCARENA->(2350935)NOVA MUTU,2.133
AC0260,(MATUPA )MATUPA->(1002140 )NOVA MUTUM,448
AA6897,(CIBRA)RONDONOPOLIS->DOM AQUINO,100
AA4129,(2167)ARAGUAINA->CARIRI DO TOC.,554
AB9149,(50045913)RONDONOPOLIS->(2362621)JARDIM,771
AA6871,(CIBRA)RONDONOP.->PRIMAVERA DO LESTE,130
AB7161,(Orígeo)ARAGUAINA->(1198626)ALVORADA,624
AA6939,(CIBRA)RONDONOPOLIS->TAPURAH,644
AB8631,(CIBRAFERTIL)RONDONOPOLIS->(1062949)TAPU,606
AA4178,(2167)ARAGUAINA->PIUM,418
AA3765,(FERT)SAO LUIS->AP. DO RIO NEGRO,1.313
AB4320,(MULTI)RONDONOPOLIS->(2329535)NOVA MUTUM,458
AB9151,(CIBRA)RONDONOPOLIS->(1987484)CONFRESA,944
AA4078,(2166)BALSAS->PALMEIRA DO PIAUI,505
AB8578,(CIBRAFERTIL)RONDONOPOLIS->(1805313)NOVA,458
AA6985,(CIBRA)SINOP->NOVA MUTUM,242
AA6905,(CIBRA)RONDONOPOLIS->ITIQUIRA,150
AC1477,(PALMEIRANTE - TO)PALMEIRANTE->(1062642),992
